code,name,total,date
010000000001,Алтайский край,15935,2019-07-01
010000000001,Алтайский край,15286,2019-08-01
010000000001,Алтайский край,13982,2019-09-01
010000000001,Алтайский край,12518,2019-10-01
010000000001,Алтайский край,15559,2019-11-01
010000000001,Алтайский край,17045,2019-12-01
010000000001,Алтайский край,12693,2020-01-01
010000000001,Алтайский край,17880,2020-02-01
010000000001,Алтайский край,17558,2020-03-01
010000000001,Алтайский край,18803,2020-04-01
010000000001,Алтайский край,23970,2020-05-01
010000000001,Алтайский край,28991,2020-06-01
010000000001,Алтайский край,34822,2020-07-01
010000000001,Алтайский край,39899,2020-08-01
010000000001,Алтайский край,39749,2020-09-01
010000000001,Алтайский край,37083,2020-10-01
010000000001,Алтайский край,35808,2020-11-01
010000000001,Алтайский край,35951,2020-12-01
010000000001,Алтайский край,34458,2021-01-01
010000000001,Алтайский край,33022,2021-02-01
010000000001,Алтайский край,30294,2021-03-01
010000000001,Алтайский край,27309,2021-04-01
010000000001,Алтайский край,24719,2021-05-01
010000000001,Алтайский край,21789,2021-06-01
010000000001,Алтайский край,20020,2021-07-01
010000000001,Алтайский край,18337,2021-08-01
010000000001,Алтайский край,15115,2021-09-01
010000000001,Алтайский край,,2021-10-01
010000000001,Алтайский край,,2021-11-01
010000000001,Алтайский край,,2021-12-01
030000000001,Краснодарский край,,2009-01-01
030000000001,Краснодарский край,,2009-02-01
030000000001,Краснодарский край,,2009-03-01
030000000001,Краснодарский край,,2009-04-01
030000000001,Краснодарский край,,2009-05-01
030000000001,Краснодарский край,,2009-06-01
030000000001,Краснодарский край,,2009-07-01
030000000001,Краснодарский край,,2009-08-01
030000000001,Краснодарский край,,2009-09-01
030000000001,Краснодарский край,,2009-10-01
030000000001,Краснодарский край,,2009-11-01
030000000001,Краснодарский край,,2009-12-01
030000000001,Краснодарский край,,2010-01-01
030000000001,Краснодарский край,,2010-02-01
030000000001,Краснодарский край,,2010-03-01
030000000001,Краснодарский край,,2010-04-01
030000000001,Краснодарский край,,2010-05-01
030000000001,Краснодарский край,,2010-06-01
030000000001,Краснодарский край,,2010-07-01
030000000001,Краснодарский край,,2010-08-01
030000000001,Краснодарский край,,2010-09-01
030000000001,Краснодарский край,,2010-10-01
030000000001,Краснодарский край,,2010-11-01
030000000001,Краснодарский край,,2010-12-01
030000000001,Краснодарский край,,2011-01-01
030000000001,Краснодарский край,,2011-02-01
030000000001,Краснодарский край,,2011-03-01
030000000001,Краснодарский край,,2011-04-01
030000000001,Краснодарский край,,2011-05-01
030000000001,Краснодарский край,,2011-06-01
030000000001,Краснодарский край,,2011-07-01
030000000001,Краснодарский край,,2011-08-01
030000000001,Краснодарский край,,2011-09-01
030000000001,Краснодарский край,,2011-10-01
030000000001,Краснодарский край,,2011-11-01
030000000001,Краснодарский край,,2011-12-01
